index,direction_x,label,weight,max_hold_bars,direction_y,ema_distance,atr,rsi,body,volatility_5,hour,session_asia,session_europe,session_us,time
1876,sell,1,1.0,18,sell,-0.0005030476189061006,0.0003858731784588376,40.53826828781119,9.967800444642221e-05,0.00023531833250404726,7.0,1.0,0.0,0.0,2025-02-04 07:21:00+00:00
1896,buy,1,1.0,20,buy,6.116368394981139e-05,0.00033072971960818005,59.551839853869176,0.0001279938562949431,0.00013690403384432847,7.0,1.0,0.0,0.0,2025-02-04 07:41:00+00:00
1917,sell,0,1.0,17,sell,0.00017818881248412454,0.00041504507084780354,74.05923175779176,0.0008166932091960301,0.0002799623850124265,8.0,0.0,1.0,0.0,2025-02-04 08:02:00+00:00
1919,buy,0,1.0,17,buy,0.0002862405463217128,0.0004117624080308222,69.45914338707718,0.00021661970280475377,0.0004122464479196934,8.0,0.0,1.0,0.0,2025-02-04 08:04:00+00:00
1921,sell,0,1.0,17,sell,0.00042472432147994604,0.00044752596052908926,76.74104224251785,0.0008444342733874088,0.0004929282939779546,8.0,0.0,1.0,0.0,2025-02-04 08:06:00+00:00
1927,buy,1,1.0,18,buy,0.0006006520341684222,0.000446115287645638,56.61604617460735,0.0002404300323746442,0.00015130922454169936,8.0,0.0,1.0,0.0,2025-02-04 08:12:00+00:00
1951,sell,1,1.0,21,sell,3.817088377163615e-05,0.0004166924146998466,46.65842038913219,0.0003127548907934944,0.0003492040983171044,8.0,0.0,1.0,0.0,2025-02-04 08:36:00+00:00
1966,buy,0,0.5,22,buy,0.0001065841411655122,0.00038245635783401447,46.54102724755595,8.172358595973282e-05,0.000131977094588077,9.0,0.0,1.0,0.0,2025-02-04 08:51:00+00:00
1978,sell,0,1.0,18,sell,0.00016602204729124586,0.0003564425373955801,58.71449599120968,0.00024145369326514313,0.00018908830236319908,9.0,0.0,1.0,0.0,2025-02-04 09:03:00+00:00
1983,buy,1,1.0,17,buy,0.0002689105508528284,0.00032720403368178267,63.82656579055142,1.0648360951111631e-05,0.00013322745542194728,9.0,0.0,1.0,0.0,2025-02-04 09:08:00+00:00
1985,sell,0,1.0,17,sell,0.00028379780574144613,0.00032921881732629924,56.246593076525095,0.00026165853880217904,0.0001649668303060438,9.0,0.0,1.0,0.0,2025-02-04 09:10:00+00:00
1986,buy,0,0.5,18,buy,0.0002777494605950304,0.0003133321509295541,54.37492214056835,3.1955030041169e-05,0.00015897347245044904,9.0,0.0,1.0,0.0,2025-02-04 09:11:00+00:00
2038,sell,1,1.0,11,sell,-6.839286513405827e-05,0.0002532637799981498,31.7414562959178,0.00014913369302962357,0.0001437214576208827,10.0,0.0,1.0,0.0,2025-02-04 10:03:00+00:00
2084,buy,0,1.0,11,buy,-0.0002263691406159584,0.00023640142893187213,46.04418046607555,0.00010660507262477036,4.04424985498423e-05,11.0,0.0,1.0,0.0,2025-02-04 10:49:00+00:00
2086,sell,0,0.5,11,sell,-0.0002058167474869463,0.00023689184889673086,53.193326877611966,0.00021671821125766812,0.00012465174712992917,11.0,0.0,1.0,0.0,2025-02-04 10:51:00+00:00
2092,buy,0,0.5,11,buy,-0.00014493312694907715,0.0002507098443643904,39.30285989626851,0.00030211426672421376,0.00015797439051512424,11.0,0.0,1.0,0.0,2025-02-04 10:57:00+00:00
